actor,name,year,variable,type,BirthYear,gender,age
归亚蕾,红楼梦,2010,actor5,drama,1944,女,66
归亚蕾,大明宫词,2000,actor2,drama,1944,女,56
郭达,大宋提刑官,2005,actor5,drama,1955,男,50
郭东文,大明王朝1566,2007,actor5,drama,1968,男,39
郭广平,父母爱情,2014,actor4,drama,1971,男,43
郭晋安,天下第一,2005,actor2,drama,1964,男,41
郭京飞,龙门镖局,2013,actor1,drama,1979,男,34
郭俊辰,太子妃升职记,2015,actor5,drama,1997,男,18
郭涛,都是天使惹的祸,2001,actor4,drama,1969,男,32
郭涛,父母爱情,2014,actor1,drama,1969,男,45
郭羡妮,宫,2011,actor5,drama,1974,女,37
郭晓东,新结婚时代,2006,actor3,drama,1974,男,32
海清,媳妇的美好时代,2009,actor1,drama,1978,女,31
海清,双面胶,2007,actor1,drama,1978,女,29
海清,深夜食堂,2017,actor4,drama,1978,女,39
海清,心术,2012,actor1,drama,1978,女,34
海清,蜗居,2009,actor1,drama,1978,女,31
海清,请你原谅我,2011,actor2,drama,1978,女,33
韩东君,无心法师,2015,actor1,drama,1992,男,23
韩童生,裸婚时代,2011,actor5,drama,1955,男,56
韩熙庭,最美的时光,2013,actor4,drama,1987,女,26
韩雨芹,离婚律师,2014,actor5,drama,1982,女,32
韩雨芹,心术,2012,actor4,drama,1982,女,30
郝平,蜗居,2009,actor3,drama,1971,男,38
郝劭文,侠女闯天关,2000,actor4,drama,1990,男,10
郝洋,暖春,2008,actor4,drama,NA,女,NA
何冰,大宋提刑官,2005,actor1,drama,1968,男,37
何炅,深夜食堂,2017,actor5,drama,1974,男,43
何泓姗,匆匆那年,2014,actor2,drama,1987,女,27
何润东,一米阳光,2004,actor1,drama,1975,男,29
何润东,玉观音,2003,actor3,drama,1975,男,28
何润东,风云,2002,actor2,drama,1975,男,27
何晟铭,美人心计,2010,actor5,drama,1976,男,34
何晟铭,宫,2011,actor4,drama,1976,男,35
何云伟,屌丝男士 第一季,2012,actor4,drama,1981,男,31
何政军,亮剑,2005,actor2,drama,1962,男,43
何琢言,鹿鼎记,2008,actor2,drama,1988,女,20
贺刚,北京青年,2012,actor2,drama,1982,男,30
洪剑涛,炊事班的故事,2002,actor1,drama,1967,男,35
洪乙心,魔幻手机,2008,actor5,drama,1982,女,26
侯堃,康熙微服私访记3,2000,actor5,drama,1976,男,24
侯勇,大秦帝国之裂变,2009,actor1,drama,1967,男,42
胡兵,双响炮,2004,actor1,drama,1971,男,33
胡兵,粉红女郎,2003,actor5,drama,1971,男,32
胡兵,真情告白,1999,actor1,drama,1971,男,28
胡歌,琅琊榜,2015,actor1,drama,1982,男,33
胡歌,伪装者,2015,actor1,drama,1982,男,33
胡歌,仙剑奇侠传三,2009,actor1,drama,1982,男,27
胡歌,射雕英雄传,2008,actor1,drama,1982,男,26
胡歌,仙剑奇侠传,2005,actor1,drama,1982,男,23
胡歌,轩辕剑之天之痕,2012,actor1,drama,1982,男,30
胡歌,神话,2010,actor1,drama,1982,男,28
胡歌,天外飞仙,2006,actor1,drama,1982,男,24
胡海锋,舞乐传奇,2013,actor4,drama,1980,男,33
胡军,天龙八部,2003,actor1,drama,1968,男,35
胡可,半生缘,2002,actor5,drama,1975,女,27
胡宇威,兰陵王,2013,actor5,drama,1982,男,31
黄渤,生存之民工,2005,actor4,drama,1974,男,31
黄海冰,西游记后传,2000,actor3,drama,1973,男,27
黄景瑜,结爱·千岁大人的初恋,2018,actor2,drama,1992,男,26
黄磊,夫妻那些事,2012,actor1,drama,1971,男,41
黄磊,橘子红了,2002,actor3,drama,1971,男,31
黄磊,深夜食堂,2017,actor1,drama,1971,男,46
黄磊,婚姻保卫战,2010,actor3,drama,1971,男,39
