actor,name,year,variable,type,BirthYear,gender,age
卡洛斯·博纳德,24小时  第一季 24 Season 1,2001,actor2,drama,1962,男,39
凯利·威廉姆斯,千谎百计 第一季 Lie to Me Season 1,2009,actor2,drama,1970,女,39
凯莉·麦克唐纳,大西洋帝国 第一季 Boardwalk Empire Season 1,2010,actor2,drama,1976,女,34
凯莉·麦克唐纳,黑镜 第三季 Black Mirror Season 3,2016,actor4,drama,1976,女,40
凯特·戴琳斯,破产姐妹 第二季 2 Broke Girls Season 2,2012,actor1,drama,1986,女,26
凯特·戴琳斯,破产姐妹 第一季 2 Broke Girls Season 1,2011,actor1,drama,1986,女,25
凯特·戴琳斯,破产姐妹 第三季 2 Broke Girls Season 3,2013,actor1,drama,1986,女,27
凯特·玛拉,纸牌屋 第一季 House of Cards Season 1,2013,actor3,drama,1983,女,30
凯特·玛拉,纸牌屋 第二季 House of Cards Season 2,2014,actor3,drama,1983,女,31
凯文·麦克基德,罗马 第一季 Rome Season 1,2005,actor1,drama,1973,男,32
凯文·史派西,纸牌屋 第一季 House of Cards Season 1,2013,actor1,drama,1959,男,54
凯文·史派西,纸牌屋 第三季 House of Cards Season 3,2015,actor1,drama,1959,男,56
凯文·史派西,纸牌屋 第二季 House of Cards Season 2,2014,actor1,drama,1959,男,55
康妮·布里登,美国恐怖故事：谋杀屋 第一季 American Horror Story: Murder House Season 1,2011,actor1,drama,1967,女,44
柯特妮·考克斯,老友记 第十季 Friends Season 10,2003,actor2,drama,1964,女,39
柯特妮·考克斯,老友记  第六季 Friends Season 6,1999,actor2,drama,1964,女,35
柯特妮·考克斯,老友记  第八季 Friends Season 8,2001,actor2,drama,1964,女,37
柯特妮·考克斯,老友记  第九季 Friends Season 9,2002,actor2,drama,1964,女,38
柯特妮·考克斯,老友记  第七季 Friends Season 7,2000,actor2,drama,1964,女,36
科比·贝尔,天赋异禀 第二季 The Gifted Season 2,2018,actor2,drama,1975,男,43
克里斯汀·戴维斯,欲望都市 第三季 Sex and the City Season 3,2000,actor3,drama,1965,女,35
克里斯汀·戴维斯,欲望都市 第六季 Sex and the City Season 6,2003,actor3,drama,1965,女,38
克里斯汀·戴维斯,欲望都市 第四季 Sex and the City Season 4,2001,actor3,drama,1965,女,36
克里斯汀·戴维斯,欲望都市  第五季 Sex and the City Season 5,2002,actor3,drama,1965,女,37
克里斯汀·戴维斯,欲望都市  第二季 Sex and the City Season 2,1999,actor3,drama,1965,女,34
克里斯汀·米利欧缇,黑镜 第四季 Black Mirror Season 4,2017,actor2,drama,1985,女,32
兰迪·哈里森,同志亦凡人 第二季 Queer as Folk Season 2,2002,actor2,drama,1977,男,25
兰迪·哈里森,同志亦凡人 第一季 Queer as Folk Season 1,2000,actor3,drama,1977,男,23
劳拉·格劳蒂尼,犯罪心理 第二季 Criminal Minds Season 2,2006,actor2,drama,1971,女,35
劳拉·格劳蒂尼,犯罪心理 第一季 Criminal Minds Season 1,2005,actor3,drama,1971,女,34
劳伦·格拉汉姆,吉尔莫女孩 第一季 Gilmore Girls Season 1,2000,actor2,drama,1967,女,33
雷·史蒂文森,罗马 第一季 Rome Season 1,2005,actor2,drama,1964,男,41
