actor,name,year,variable,type,BirthYear,gender,age
大地真央,脑神探 MR. BRAIN,2009,actor4,drama,1956,女,53
大谷亮平,逃避虽可耻但有用 逃げるは恥だが役に立つ,2016,actor3,drama,1980,男,36
大泽隆夫,仁医 JIN-仁-,2009,actor1,drama,1968,男,41
大塚宁宁,夜叉 YASHA,2000,actor2,drama,1968,女,32
大塚宁宁,律政英雄 HERO,2001,actor4,drama,1968,女,33
大塚千弘,白夜行,2006,actor5,drama,1986,女,20
东出昌大,问题餐厅 問題のあるレストラン,2015,actor2,drama,1988,男,27
渡边谦,池袋西口公园 池袋ウエストゲートパーク,2000,actor5,drama,1959,男,41
渡边一计,诈欺游戏 ライアーゲーム,2007,actor4,drama,1962,男,45
渡边一计,神探伽利略 ガリレオ,2007,actor5,drama,1962,男,45
渡边一计,黑色皮革手册 黒革の手帖,2004,actor4,drama,1962,男,42
渡部笃郎,继续,1999,actor2,drama,1968,男,31
渡部笃郎,美丽人生 ビューティフルライフ,2000,actor5,drama,1968,男,32
渡部笃郎,不需要爱的夏天 愛なんていらねえよ、夏,2002,actor1,drama,1968,男,34
段田安则,日本派 Stand Up!!,2003,actor5,drama,1957,男,46
二宫和也,流星之绊 流星の絆,2008,actor1,drama,1983,男,25
二宫和也,日本派 Stand Up!!,2003,actor1,drama,1983,男,20
二阶堂富美,问题餐厅 問題のあるレストラン,2015,actor3,drama,1994,女,21
芳根京子,高岭之花 高嶺の花,2018,actor3,drama,1997,女,21
丰川悦司,世界奇妙物语 10周年特别篇 世にも奇妙な物語 10周年,2000,actor1,drama,1962,男,38
风间俊介,尽管如此 也要活下去 それでも、生きてゆく,2011,actor3,drama,1983,男,28
峯田和伸,高岭之花 高嶺の花,2018,actor2,drama,1977,男,41
福山雅治,神探伽利略 ガリレオ,2007,actor1,drama,1969,男,38
福田沙纪,SPEC SPEC?警視庁公安部公安第五課 未詳事件特別対策係事件簿?,2010,actor3,drama,1990,女,20
伽奈,面包和汤和猫咪好天气 パンとスープとネコ日和,2013,actor2,drama,1983,女,30
冈本梓,勇者义彦与魔王城 勇者ヨシヒコと魔王の城,2011,actor4,drama,1992,女,19
冈田将生,偷偷爱着你 花ざかりの君たちへ：～イケメン♂パラダイス～,2007,actor4,drama,1989,男,18
冈田将生,胜者即是正义2 リーガルハイ2,2013,actor3,drama,1989,男,24
冈田义德,木更津猫眼 木更津キャッツアイ,2002,actor3,drama,1977,男,25
冈田准一,木更津猫眼 木更津キャッツアイ,2002,actor1,drama,1980,男,22
高岛礼子,大奥第一章 大奧～第一章～,2004,actor2,drama,1964,女,40
高冈早纪,贤者之爱 賢者の愛,2016,actor2,drama,1972,女,44
高梨临,朝5晚9：帅气和尚爱上我 5→9 ～私に恋したお坊さん～,2015,actor4,drama,1988,女,27
高桥一生,四重奏 カルテット,2017,actor3,drama,1980,男,37
高桥一生,民王,2015,actor5,drama,1980,男,35
高畑充希,问题餐厅 問題のあるレストラン,2015,actor4,drama,1991,女,24
宮内順子,孤独的美食家 第一季 孤独のグルメ Season1,2012,actor3,drama,1927,女,85
沟端淳平,失恋巧克力职人 失恋ショコラティエ,2014,actor5,drama,1989,男,25
沟端淳平,老大 BOSS,2009,actor4,drama,1989,男,20
古川雄辉,一吻定情 イタズラなKiss～Love in TOKYO,2013,actor2,drama,1987,男,26
关惠美,无法坦诚相对 素直になれなくて,2010,actor4,drama,1985,女,25
光石研,面包和汤和猫咪好天气 パンとスープとネコ日和,2013,actor4,drama,1961,男,52
光石研,深夜食堂2,2011,actor4,drama,1961,男,50
广末凉子,唇膏,1999,actor2,drama,1980,女,19
广末凉子,不需要爱的夏天 愛なんていらねえよ、夏,2002,actor2,drama,1980,女,22
广末凉子,世界奇妙物语 10周年特别篇 世にも奇妙な物語 10周年,2000,actor3,drama,1980,女,20
龟梨和也,野猪大改造 野ブタ。をプロデュース,2005,actor1,drama,1986,男,19
国仲凉子,萤之光 ホタルノヒカリ,2007,actor4,drama,1979,女,28
国仲凉子,不能结婚的男人 結婚できない男,2006,actor3,drama,1979,女,27
国仲凉子,约会～恋爱究竟是什么呢～ デート ?恋とはどんなものかしら?,2015,actor3,drama,1979,女,36
和田正人,黑皮记事本 黒革の手帖,2017,actor5,drama,1979,男,38
贺来贤人,为了N Nのために,2014,actor3,drama,1989,男,25
黑木瞳,白色巨塔 白い巨塔,2003,actor3,drama,1960,女,43
黑木瞳,魔女的条件,1999,actor3,drama,1960,女,39
户田惠梨香,流星之绊 流星の絆,2008,actor3,drama,1988,女,20
户田惠梨香,SPEC SPEC?警視庁公安部公安第五課 未詳事件特別対策係事件簿?,2010,actor1,drama,1988,女,22
户田惠梨香,诈欺游戏 ライアーゲーム,2007,actor1,drama,1988,女,19
户田惠梨香,野猪大改造 野ブタ。をプロデュース,2005,actor4,drama,1988,女,17
户田惠梨香,紧急救命 コード?ブルー -ドクターヘリ緊急救命-,2008,actor4,drama,1988,女,20
户田惠梨香,老大 BOSS,2009,actor3,drama,1988,女,21
荒川良良,自恋刑警 うぬぼれ刑事,2010,actor4,drama,1974,男,36
及川光博,半泽直树 半沢直樹,2013,actor4,drama,1969,男,44
及川光博,白色巨塔 白い巨塔,2003,actor5,drama,1969,男,34
及川光博,曼哈顿爱情故事 マンハッタンラブストーリー,2003,actor3,drama,1969,男,34
吉冈里帆,四重奏 カルテット,2017,actor5,drama,1993,女,24
吉高由里子,我无法恋爱的理由 私が恋愛できない理由,2011,actor2,drama,1988,女,23
吉高由里子,东京白日梦女 東京タラレバ娘,2017,actor1,drama,1988,女,29
吉高由里子,爱情洗牌 Love Shuffle,2009,actor5,drama,1988,女,21
吉濑美智子,昼颜：工作日下午3点的恋人们 昼顔～平日午後3時の恋人たち～,2014,actor3,drama,1975,女,39
吉濑美智子,诈欺游戏 ライアーゲーム,2007,actor3,drama,1975,女,32
吉濑美智子,老大 BOSS,2009,actor5,drama,1975,女,34
吉田钢太郎,大叔之爱 おっさんずラブ,2018,actor2,drama,1959,男,59
吉田羊,无间双龙：这份爱，才是正义 ウロボロス～この愛こそ、正義。,2015,actor4,drama,1974,女,41
加濑亮,SPEC SPEC?警視庁公安部公安第五課 未詳事件特別対策係事件簿?,2010,actor2,drama,1974,男,36
加藤爱,池袋西口公园 池袋ウエストゲートパーク,2000,actor2,drama,1982,女,18
加藤浩次,欺诈师猎人 クロサギ,2006,actor4,drama,1969,男,37
加藤和树,萤之光 ホタルノヒカリ,2007,actor3,drama,1984,男,23
菅田将晖,问题餐厅 問題のあるレストラン,2015,actor5,drama,1993,男,22
菅田将晖,人生删除事务所 dele ディーリー,2018,actor2,drama,1993,男,25
菅田将晖,民王,2015,actor2,drama,1993,男,22
菅野美穗,不结婚 結婚しない,2012,actor1,drama,1977,女,35
江口洋介,白色巨塔 白い巨塔,2003,actor2,drama,1967,男,36
江口洋介,黑皮记事本 黒革の手帖,2017,actor2,drama,1967,男,50
江口洋介,午餐女王 ランチの女王,2002,actor2,drama,1967,男,35
堺雅人,半泽直树 半沢直樹,2013,actor1,drama,1973,男,40
