actress,drama/movie,year,age,douban_score,role,leading,award,nomination,source
海清,男人女人向前走,2005,27,,actress,yes,,,
海清,幸福从邪恶中穿行,2005,27,7.1,actress,yes,,,
海清,海棠依旧,2004,26,7.3,actress,yes,,,
海清,梅花档案,2003,25,7.7,actress,yes,,,
海清,书香门第,2003,25,7.8,actress,no,,,
海清,玉观音,2003,25,7.7,actress,no,,,
海清,一见钟情,2002,24,5.4,actress,yes,,,
海清,明星制造,2001,23,6.5,actress,no,,,
海清,青苹果,2001,23,,actress,yes,,,
姚晨,送我上青云,2019,40,,actress/producer,yes,,,
姚晨,都挺好,2019,40,7.8,actress,yes,,第25届上海电视节白玉兰奖 电视连续剧 最佳女主角(提名)；第21届上海国际电影节最佳女演员(提名),凤凰网
姚晨,那些女人,2018,39,4.6,actress,no,,,
姚晨,找到你,2018,39,7.4,actress,yes,,,
姚晨,西游伏妖篇,2017,38,5.5,actress,yes,,,
姚晨,梦想合伙人,2016,37,4,actress,yes,,,
姚晨,过年好,2016,37,5.1,actress,no,,,
姚晨,一切都好,2016,37,6.4,actress,yes,,,
姚晨,九层妖塔,2015,36,4.3,actress,yes,,,
姚晨,捉妖记,2015,36,6.7,actress,no,,第33届大众电影百花奖 最佳女配角(提名),
姚晨,极品女士 第三季,2014,35,6.8,actress,no,,,
姚晨,离婚律师,2014,35,7.2,actress,yes,,第21届上海电视节白玉兰奖 电视连续剧 最佳女主角(提名),
姚晨,风暴,2013,34,6.4,actress,yes,,,
姚晨,控制,2013,34,5.8,actress,yes,,,
姚晨,非常幸运,2013,34,4.5,actress,yes,,,
姚晨,龙门镖局,2013,34,7.5,actress,no,,,
姚晨,搜索,2012,33,7.3,actress,yes,,,
姚晨,武林外传,2011,32,6.4,actress,yes,,,
姚晨,非诚勿扰2,2010,31,6.5,actress,yes,,,
姚晨,爱出色,2010,31,5.9,actress,yes,,,
姚晨,摇摆de婚约,2010,31,5.7,actress,yes,,,
姚晨,和空姐一起的日子,2010,31,6.8,actress,yes,,,
姚晨,非常完美,2009,30,5.9,actress,yes,,,
姚晨,天堂凹,2009,30,6.9,actress,yes,,,
姚晨,潜伏,2009,30,9.3,actress,yes,第25届中国电视金鹰奖观众喜爱的女演员奖,第27届中国电视剧飞天奖优秀女演员(提名),金鹰网；CCTV
姚晨,家有喜事2009,2009,30,5.4,actress,yes,,,
姚晨,防火墙5788,2008,29,8.1,actress,yes,,,
姚晨,都市六人行,2008,29,7.5,actress,no,,,
姚晨,百年往事,2008,29,7.8,actress,yes,,,
姚晨,卫生队的故事,2008,29,7.4,actress,no,,,
姚晨,牛铁汉和他的儿女们,2007,28,,actress,yes,,,
姚晨,大电影2.0：两个傻瓜的荒唐事,2007,28,5.7,actress,yes,,,
姚晨,命运呼叫转移,2007,28,5.7,actress,no,,,
姚晨,炊事班的故事3,2007,28,8.6,actress,yes,,,
姚晨,房前屋后,2007,28,8.1,actress,yes,,,
姚晨,追爱总动员,2007,28,5.1,actress,no,,,
姚晨,梦回春谷,2007,28,,actress,yes,,,
姚晨,大电影,2006,27,5.6,actress,yes,,,
姚晨,我的长征,2006,27,5.8,actress,no,,,
姚晨,武林外传,2006,27,9.5,actress,yes,,,
姚晨,炊事班的故事2,2004,25,8.7,actress,no,,,
姚晨,人命关天,2003,24,,actress,yes,,,
姚晨,都市男女,2002,23,8.4,actress,yes,,,
姚晨,神鞭,2001,22,7.3,actress,yes,,,
姚晨,七星期 无人入睡,2001,22,,actress,yes,,,
马伊琍,未择之路,2018,42,6.8,actress,yes,,,
马伊琍,那些女人,2018,42,4.6,actress,no,第21届上海国际电影节-电影频道传媒大奖最受传媒关注女配角奖,,时光网
马伊琍,找到你,2018,42,7.4,actress,yes,,,
马伊琍,进京城,2018,42,6.8,actress,yes,,,
马伊琍,建军大业,2017,41,-,actress,no,,,
马伊琍,我的前半生,2017,41,6.3,actress,yes,第24届上海电视节白玉兰奖 电视连续剧 最佳女主角,,
马伊琍,剃刀边缘,2017,41,6.5,actress,yes,,,
马伊琍,中国式关系,2016,40,7.3,actress,yes,,第23届上海电视节白玉兰奖 电视连续剧 最佳女主角(提名),
马伊琍,陆垚知马俐,2016,40,5.4,actress,no,,,
马伊琍,寒战2,2016,40,7,actress,no,,,
马伊琍,北上广不相信眼泪,2015,39,5.5,actress,yes,,,
马伊琍,小爸爸,2013,37,6.8,actress/producer,yes,,,
马伊琍,不二神探,2013,37,4.7,actress,no,,,
马伊琍,青春期撞上更年期2,2013,37,5.2,actress,yes,,,
马伊琍,寒战,2012,36,7.5,actress,no,,,
马伊琍,风和日丽,2011,35,7.4,actress,yes,,,
马伊琍,失恋33天,2011,35,7.2,actress,no,,,
马伊琍,双城生活,2011,35,6.8,actress,yes,,,
马伊琍,跟踪孔令学,2011,35,6.6,actress,yes,,,
马伊琍,青春期撞上更年期,2010,34,6.5,actress,yes,,,
马伊琍,经纬天地,2010,34,7.3,actress,yes,,,
马伊琍,婚姻保卫战,2010,34,7.7,actress,yes,,,
马伊琍,锁春记,2008,32,7,actress,yes,,,
马伊琍,二哥艳遇记,2007,31,,actress,yes,,,
马伊琍,美丽无声,2007,31,7.5,actress,yes,,,
马伊琍,江北好人,2007,31,5.8,actress,yes,,,
马伊琍,幸福在哪里,2007,31,7.1,actress,yes,,,
马伊琍,永远的铭记,2007,31,,actress,yes,,,
马伊琍,奋斗,2007,31,7.6,actress,yes,,,
马伊琍,锦衣卫,2007,31,6,actress,yes,,,
马伊琍,酒巷深深,2006,30,7.5,actress,yes,,,
马伊琍,乔家大院,2006,30,8.4,actress,yes,,第23届中国电视金鹰奖观众喜爱的女演员奖(提名),华娱创新
马伊琍,别说爱情苦,2006,30,,actress,yes,,,
马伊琍,碧海深沉,2006,30,,actress,yes,,,
马伊琍,五妹,2005,29,6.2,actress,yes,,,
马伊琍,月牙儿与阳光,2004,28,8.2,actress,yes,,,
马伊琍,天一生水,2004,28,7.8,actress,yes,,,
马伊琍,七武士,2004,28,5.5,actress,yes,,,
马伊琍,危情雪夜,2004,28,5.8,actress,yes,,,
马伊琍,七日,2003,27,7.4,actress,yes,,,
马伊琍,谁都会说我爱你,2003,27,7.2,actress,yes,,,
马伊琍,还珠格格第三部,2003,27,4.9,actress,yes,,,
马伊琍,西施眼,2002,26,7.7,actress,yes,,,
马伊琍,一见钟情,2002,26,5.4,actress,yes,,,
马伊琍,黑洞,2001,25,8.4,actress,no,,,
马伊琍,幸福家庭,2001,25,7.8,actress,no,,,
马伊琍,鲁镇传说,2001,25,,actress,yes,,,
马伊琍,今夜无眠,2001,25,,actress,yes,,,
马伊琍,还我激情,2001,25,7.2,actress,yes,,,
马伊琍,前世今生,2000,24,8.1,actress,yes,,,
马伊琍,完全婚姻手册,2000,24,7.2,actress,yes,,,
